################################# 2 ######################################
#WSYS github/Ice-modelling/rundataharvester.py
#OPER Ragnar Ekker
#RTIM 20151012/1351
#DCHA RR  [mm/day]          on Blindern 18700 from eklima.met.no
#DCHA TAM [C]     daily avg on Blindern 18700 from eklima.met.no
#DCHA NNM [%/100] daily avg on Blindern 18700 from eklima.met.no
##########################################################################
20000424/0000	       1.0	       8.7	       1.0
20000425/0000	       0.2	      10.7	      0.41
20000426/0000	      -1.0	       9.6	      0.96
20000427/0000	       0.0	       8.8	      0.96
20000428/0000	       2.3	      12.4	      0.75
20000429/0000	       0.0	      17.9	      0.46
20000430/0000	      -1.0	      18.1	      0.58
20000501/0000	       2.3	      10.7	      0.91
20000502/0000	       6.0	       6.7	       1.0
20000503/0000	       6.6	      10.9	       0.5
20000504/0000	      -1.0	      11.0	      0.33
20000505/0000	      -1.0	      13.0	      0.46
20000506/0000	      -1.0	      13.5	      0.16
20000507/0000	      -1.0	      13.8	      0.21
20000508/0000	      -1.0	      16.5	      0.12
20000509/0000	      -1.0	      16.5	      0.16
20000510/0000	      -1.0	      15.8	       0.5
20000511/0000	      -1.0	      12.6	      0.62
20000512/0000	      -1.0	       9.4	      0.25
20000513/0000	      -1.0	      15.2	      0.25
20000514/0000	      -1.0	      16.1	      0.28
20000515/0000	      -1.0	      17.1	      0.12
20000516/0000	      -1.0	      16.4	      0.58
20000517/0000	      -1.0	      14.8	      0.87
20000518/0000	       2.9	      11.4	      0.75
20000519/0000	      -1.0	      11.5	      0.75
20000520/0000	       3.4	      12.1	      0.37
20000521/0000	      -1.0	      13.2	      0.28
20000522/0000	      -1.0	      11.7	      0.71
20000523/0000	      -1.0	      12.5	      0.66
20000524/0000	      16.0	      13.3	      0.83
20000525/0000	       4.8	      10.9	      0.83
20000526/0000	       9.5	      11.2	      0.66
20000527/0000	       9.7	       8.0	       1.0
20000528/0000	      12.4	      11.2	      0.75
20000529/0000	       6.6	       8.9	      0.96
20000530/0000	      11.6	       9.8	      0.91
20000531/0000	       2.5	      10.6	      0.46
20000601/0000	       1.4	      10.0	      0.62
20000602/0000	      11.9	      12.3	      0.66
20000603/0000	       0.5	      11.3	      0.16
20000604/0000	      -1.0	      10.8	      0.21
20000605/0000	      -1.0	      11.9	      0.46
20000606/0000	      -1.0	      13.3	      0.78
20000607/0000	      -1.0	      13.1	      0.87
20000608/0000	       0.7	      14.4	      0.62
20000609/0000	       0.0	      15.3	      0.78
20000610/0000	      -1.0	      13.6	      0.96
20000611/0000	       7.1	      15.4	      0.58
20000612/0000	       0.0	      13.5	      0.75
20000613/0000	      -1.0	      13.7	      0.78
20000614/0000	       3.5	      14.2	       0.5
20000615/0000	       0.1	      12.5	       0.5
20000616/0000	       0.0	      13.1	      0.78
20000617/0000	       0.1	      11.8	       0.5
20000618/0000	       0.4	      11.9	      0.96
20000619/0000	       0.3	      13.8	      0.96
20000620/0000	      -1.0	      19.1	      0.37
20000621/0000	      -1.0	      17.0	       1.0
20000622/0000	       4.2	      16.1	      0.83
20000623/0000	       2.0	      13.0	      0.96
20000624/0000	      27.3	      14.4	      0.87
20000625/0000	       2.6	      14.1	      0.83
20000626/0000	       1.1	      11.3	      0.96
20000627/0000	       2.4	      11.3	      0.75
20000628/0000	       0.8	      11.3	      0.83
20000629/0000	       1.3	      14.7	      0.87
20000630/0000	       7.6	      19.4	      0.75
20000701/0000	       4.3	      17.2	      0.87
20000702/0000	       1.5	      17.3	      0.58
20000703/0000	       1.8	      18.2	      0.46
20000704/0000	      -1.0	      17.1	      0.58
20000705/0000	      -1.0	      17.9	      0.58
20000706/0000	       0.0	      15.6	      0.87
20000707/0000	       0.1	      14.8	      0.83
20000708/0000	       3.0	      13.1	      0.71
20000709/0000	       0.0	      13.3	      0.53
20000710/0000	       1.3	      12.1	      0.96
20000711/0000	      15.7	      13.8	      0.96
20000712/0000	       7.9	      16.6	      0.66
20000713/0000	      -1.0	      15.9	      0.75
20000714/0000	       0.1	      13.7	      0.96
20000715/0000	       1.4	      16.4	      0.75
20000716/0000	      -1.0	      15.6	       1.0
20000717/0000	       4.9	      15.5	      0.83
20000718/0000	      -1.0	      17.0	      0.71
20000719/0000	       8.8	      18.1	      0.78
20000720/0000	       0.0	      17.3	      0.83
20000721/0000	      -1.0	      16.3	      0.83
20000722/0000	       0.0	      19.9	      0.58
20000723/0000	      -1.0	      18.2	      0.87
20000724/0000	       1.3	      16.9	      0.91
20000725/0000	       2.3	      17.9	      0.96
20000726/0000	       3.6	      12.7	       1.0
20000727/0000	      11.6	      12.9	       1.0
20000728/0000	       1.1	      16.8	      0.28
20000729/0000	      -1.0	      17.6	      0.41
20000730/0000	      -1.0	      19.0	      0.41
20000731/0000	      -1.0	      18.7	       0.5
20000801/0000	      -1.0	      17.3	      0.75
20000802/0000	      -1.0	      17.6	      0.83
20000803/0000	      27.0	      15.9	      0.83
20000804/0000	       4.0	      16.8	      0.75
20000805/0000	       0.3	      17.2	      0.83
20000806/0000	       0.0	      17.2	      0.62
20000807/0000	       0.0	      14.2	      0.58
20000808/0000	      -1.0	      15.4	      0.66
20000809/0000	      -1.0	      14.4	      0.21
20000810/0000	      -1.0	      14.5	      0.83
20000811/0000	      12.4	      15.3	       1.0
20000812/0000	       3.3	      15.9	       0.5
20000813/0000	      -1.0	      16.7	      0.28
20000814/0000	       0.0	      15.7	      0.96
20000815/0000	      11.4	      18.4	      0.75
20000816/0000	       0.0	      17.1	      0.62
20000817/0000	       0.0	      15.4	      0.83
20000818/0000	      13.5	      15.0	      0.53
20000819/0000	      -1.0	      14.7	      0.37
20000820/0000	      19.0	      13.4	      0.96
20000821/0000	      21.4	      12.9	      0.71
20000822/0000	       5.3	      14.4	      0.41
20000823/0000	       0.0	      13.8	      0.75
20000824/0000	       0.3	      12.1	      0.75
20000825/0000	       4.0	      14.2	      0.58
20000826/0000	      -1.0	      15.9	      0.46
20000827/0000	      -1.0	      14.9	      0.91
20000828/0000	      -1.0	      16.5	      0.87
20000829/0000	       6.1	      15.0	      0.96
20000830/0000	      12.0	      14.3	      0.78
20000831/0000	       7.5	      14.5	      0.75
20000901/0000	       3.6	      14.4	      0.87
20000902/0000	      -1.0	      11.6	      0.75
20000903/0000	      -1.0	      11.2	      0.16
20000904/0000	      -1.0	      10.7	      0.28
20000905/0000	      -1.0	      11.4	      0.46
20000906/0000	      -1.0	      11.4	       1.0
20000907/0000	      15.8	      12.9	       1.0
20000908/0000	      13.1	      13.6	      0.62
20000909/0000	      -1.0	      13.6	      0.33
20000910/0000	      -1.0	      12.7	      0.25
20000911/0000	      -1.0	      10.1	      0.21
20000912/0000	      -1.0	      10.5	      0.25
20000913/0000	      -1.0	      11.2	      0.75
20000914/0000	      -1.0	      10.8	      0.62
20000915/0000	       0.0	      10.4	      0.87
20000916/0000	       0.0	      12.1	      0.87
