################################# 2 ######################################
#WSYS github/Ice-modelling/rundataharvester.py
#OPER Ragnar Ekker
#RTIM 20151012/1352
#DCHA QLI  [Wh/m2] avg pr hr on Nordnesfjellet 91500 from eklima.met.no
#DCHA TA   [C]     avg pr hr on Nordnesfjellet 91500 from eklima.met.no
#DCHA RR_1 [mm/hr]           on Nordnesfjellet 91500 from eklima.met.no
##########################################################################
20140805/2200	     368.3	      15.2	       0.0
20140805/2300	     363.0	      14.8	       0.0
20140806/0000	     357.2	      14.7	       0.0
20140806/0100	     328.5	      14.3	       0.0
20140806/0200	     318.3	      14.0	       0.0
20140806/0300	     310.5	      13.5	       0.0
20140806/0400	     311.8	      13.4	       0.0
20140806/0500	     343.2	      13.8	       0.0
20140806/0600	     366.0	      13.7	       0.0
20140806/0700	     361.6	      14.2	       0.0
20140806/0800	     326.3	      15.0	       0.0
20140806/0900	     326.3	      15.4	       0.0
20140806/1000	     329.7	      16.1	       0.0
20140806/1100	     330.5	      17.0	       0.0
20140806/1200	     334.5	      17.9	       0.0
20140806/1300	     338.0	      18.5	       0.0
20140806/1400	     341.2	      19.3	       0.0
20140806/1500	     346.1	      19.6	       0.0
20140806/1600	  -99999.0	      19.7	  -99999.0
20140806/1700	  -99999.0	      15.5	  -99999.0
20140806/1800	  -99999.0	      15.8	  -99999.0
20140806/1900	  -99999.0	      16.1	  -99999.0
20140806/2000	  -99999.0	      16.2	  -99999.0
20140806/2100	  -99999.0	      16.0	  -99999.0
20140806/2200	  -99999.0	      16.0	  -99999.0
20140806/2300	  -99999.0	      14.7	  -99999.0
20140807/0000	  -99999.0	      14.7	  -99999.0
20140807/0100	  -99999.0	      13.6	  -99999.0
20140807/0200	  -99999.0	      13.1	  -99999.0
20140807/0300	  -99999.0	      12.7	  -99999.0
20140807/0400	  -99999.0	      12.9	  -99999.0
20140807/0500	  -99999.0	      15.1	  -99999.0
20140807/0600	     314.2	      15.4	       0.0
20140807/0700	     318.1	      17.1	       0.0
20140807/0800	     322.4	      17.6	       0.0
20140807/0900	     328.5	      18.8	       0.0
20140807/1000	     339.3	      19.6	       0.0
20140807/1100	     342.7	      20.2	       0.0
20140807/1200	     364.0	      21.7	       0.0
20140807/1300	     349.8	      21.9	       0.0
20140807/1400	  -99999.0	      20.6	  -99999.0
20140807/1500	  -99999.0	      16.3	  -99999.0
20140807/1600	  -99999.0	      15.9	  -99999.0
20140807/1700	  -99999.0	      15.0	  -99999.0
20140807/1800	     332.6	      13.7	       0.0
20140807/1900	     355.8	      12.8	       0.0
20140807/2000	     363.3	      12.3	       0.0
20140807/2100	     363.7	      11.8	       0.0
20140807/2200	     366.7	      11.6	       0.0
20140807/2300	     363.5	      11.4	       0.0
20140808/0000	     360.0	      11.0	       0.0
20140808/0100	     351.2	      10.5	       0.0
20140808/0200	     355.7	       9.8	       0.0
20140808/0300	     347.6	       9.4	       0.0
20140808/0400	     339.6	       9.4	       0.0
20140808/0500	     350.1	       9.4	       0.0
20140808/0600	     352.2	       9.0	       0.0
20140808/0700	     351.4	       9.2	       0.0
20140808/0800	     352.0	       9.3	       0.0
20140808/0900	     350.4	       9.5	       0.0
20140808/1000	     344.7	       9.8	       0.0
20140808/1100	     342.2	       9.5	       0.0
20140808/1200	     325.3	      10.0	       0.0
20140808/1300	     318.8	      10.8	       0.0
20140808/1400	     316.3	      11.1	       0.0
20140808/1500	     342.9	      11.1	       0.0
20140808/1600	     335.7	      10.1	       0.0
20140808/1700	     336.2	       9.5	       0.0
20140808/1800	     306.1	       9.0	       0.0
20140808/1900	     301.8	       8.2	       0.0
20140808/2000	     323.0	       7.6	       0.0
20140808/2100	     333.5	       7.1	       0.0
20140808/2200	     329.4	       6.9	       0.0
20140808/2300	     335.5	       6.5	       0.0
20140809/0000	     342.9	       6.3	       0.0
20140809/0100	     347.5	       6.2	       0.0
20140809/0200	     347.0	       5.9	       0.0
20140809/0300	     339.2	       5.9	       0.1
20140809/0400	     326.2	       6.0	       0.0
20140809/0500	     345.1	       5.9	       0.0
20140809/0600	     345.3	       5.8	       0.0
20140809/0700	     327.1	       6.0	       0.0
20140809/0800	     344.1	       6.3	       0.0
20140809/0900	     342.8	       6.9	       0.0
20140809/1000	     339.6	       7.1	       0.0
20140809/1100	     315.9	       7.6	       0.0
20140809/1200	     296.8	       8.0	       0.0
20140809/1300	     284.2	       8.6	       0.0
20140809/1400	     286.0	       9.2	       0.0
20140809/1500	     287.4	       9.4	       0.0
20140809/1600	     289.7	       9.7	       0.0
20140809/1700	     289.7	      10.0	       0.0
20140809/1800	     288.7	      10.6	       0.0
20140809/1900	     287.4	      10.9	       0.0
20140809/2000	     286.2	      10.0	       0.0
20140809/2100	     281.2	       9.2	       0.0
20140809/2200	     289.3	       9.2	       0.0
20140809/2300	     299.4	       9.1	       0.0
20140810/0000	     278.2	       8.8	       0.0
20140810/0100	     275.8	       8.8	       0.0
20140810/0200	     275.5	       8.9	       0.0
20140810/0300	     276.7	       8.6	       0.0
20140810/0400	     273.8	       8.0	       0.0
20140810/0500	     282.9	       8.0	       0.0
20140810/0600	     287.7	       7.7	       0.0
20140810/0700	     277.2	       8.0	       0.0
20140810/0800	     281.7	       8.7	       0.0
20140810/0900	     282.2	       9.3	       0.0
20140810/1000	     279.4	       9.8	       0.0
20140810/1100	     280.3	      10.1	       0.0
20140810/1200	     282.8	      10.1	       0.0
20140810/1300	     282.6	      10.3	       0.0
20140810/1400	     293.0	      10.3	       0.0
20140810/1500	     286.8	      10.5	       0.0
20140810/1600	     278.4	      10.8	       0.0
20140810/1700	     280.5	      11.3	       0.0
20140810/1800	     288.6	      11.4	       0.0
20140810/1900	     282.1	      10.8	       0.0
20140810/2000	     275.2	      10.0	       0.0
20140810/2100	     274.9	       9.5	       0.0
20140810/2200	     276.0	       9.6	       0.0
20140810/2300	     276.7	       9.7	       0.0
20140811/0000	     278.1	       9.5	       0.0
20140811/0100	     280.5	       9.8	       0.0
20140811/0200	     281.9	      10.3	       0.0
20140811/0300	     283.4	      10.2	       0.0
20140811/0400	     318.1	      10.9	       0.0
20140811/0500	     324.0	      11.3	       0.0
20140811/0600	     308.6	      11.6	       0.0
20140811/0700	     326.7	      11.8	       0.0
20140811/0800	     342.8	      12.3	       0.0
20140811/0900	     320.7	      13.0	       0.0
20140811/1000	     298.6	      13.7	       0.0
20140811/1100	     301.5	      14.3	       0.0
20140811/1200	     304.7	      14.2	       0.0
20140811/1300	     306.4	      14.9	       0.0
20140811/1400	     310.6	      15.5	       0.0
20140811/1500	     321.5	      15.5	       0.0
20140811/1600	     339.1	      16.0	       0.0
20140811/1700	     348.9	      15.9	       0.0
20140811/1800	     312.4	      15.3	       0.0
20140811/1900	     308.8	      14.4	       0.0
20140811/2000	     297.4	      13.5	       0.0
20140811/2100	     294.0	      12.7	       0.0
20140811/2200	     293.6	      12.4	       0.0
20140811/2300	     292.1	      12.0	       0.0
20140812/0000	     291.5	      11.8	       0.0
20140812/0100	     291.3	      11.7	       0.0
20140812/0200	     290.3	      11.5	       0.0
20140812/0300	     289.4	      11.3	       0.0
20140812/0400	     290.1	      11.4	       0.0
20140812/0500	     297.4	      11.7	       0.0
20140812/0600	     296.6	      11.9	       0.0
20140812/0700	     293.5	      12.6	       0.0
20140812/0800	     297.5	      13.2	       0.0
20140812/0900	     301.8	      13.6	       0.0
20140812/1000	     320.0	      14.1	       0.0
20140812/1100	     326.7	      14.7	       0.0
20140812/1200	     332.4	      14.8	       0.0
20140812/1300	     319.8	      15.1	       0.0
20140812/1400	     321.2	      14.9	       0.0
20140812/1500	     339.4	      14.4	       0.0
20140812/1600	     345.0	      14.0	       0.0
20140812/1700	     356.6	      13.9	       0.0
20140812/1800	     355.0	      13.4	       0.0
20140812/1900	     356.5	      12.8	       0.0
20140812/2000	     360.3	      11.9	       0.6
20140812/2100	     361.3	      11.0	       1.8
20140812/2200	     360.7	      10.4	       2.4
20140812/2300	     355.9	       9.8	       1.2
20140813/0000	     351.1	       9.1	       1.2
20140813/0100	     354.5	       8.6	       1.1
20140813/0200	     358.9	       8.3	       2.6
20140813/0300	     356.8	       7.8	       1.2
20140813/0400	     356.5	       7.7	       2.5
20140813/0500	     358.5	       7.7	       2.7
20140813/0600	     359.4	       7.7	       1.7
20140813/0700	     359.4	       7.9	       2.4
20140813/0800	     357.9	       8.2	       1.6
20140813/0900	     360.5	       8.4	       1.3
20140813/1000	     361.0	       8.1	       2.3
20140813/1100	     359.1	       7.9	       1.0
20140813/1200	     357.6	       7.8	       0.3
20140813/1300	     353.8	       7.9	       0.8
20140813/1400	     353.4	       8.0	       1.5
20140813/1500	     361.8	       8.1	       1.3
20140813/1600	     358.1	       7.8	       1.9
20140813/1700	     359.2	       7.9	       0.5
20140813/1800	     360.1	       7.8	       0.3
20140813/1900	     358.5	       7.8	       0.8
20140813/2000	     357.1	       7.5	       0.8
20140813/2100	     356.5	       7.2	       1.0
20140813/2200	     355.8	       7.3	       0.5
20140813/2300	     355.4	       7.0	       0.9
20140814/0000	     356.3	       7.0	       1.0
20140814/0100	     355.8	       7.0	       1.4
20140814/0200	     357.3	       6.9	       1.3
20140814/0300	     356.3	       6.9	       0.7
20140814/0400	     356.4	       7.0	       0.5
20140814/0500	     355.7	       6.7	       1.1
20140814/0600	     354.9	       7.0	       0.6
20140814/0700	     354.7	       7.1	       0.7
20140814/0800	     353.8	       7.2	       0.5
20140814/0900	     350.8	       7.1	       0.2
20140814/1000	     350.3	       7.2	       0.0
20140814/1100	     344.6	       7.4	       0.0
20140814/1200	     349.0	       7.1	       0.0
20140814/1300	     350.3	       7.0	       0.2
20140814/1400	     328.4	       7.6	       0.0
20140814/1500	     339.3	       8.0	       0.0
20140814/1600	     350.7	       7.3	       0.0
20140814/1700	     349.7	       7.3	       0.0
20140814/1800	     349.6	       7.1	       0.0
20140814/1900	     348.9	       6.8	       0.0
20140814/2000	     347.4	       6.4	       0.0
20140814/2100	     349.9	       6.2	       0.2
20140814/2200	  -99999.0	       6.0	  -99999.0
20140814/2300	  -99999.0	       5.8	  -99999.0
20140815/0000	  -99999.0	       5.6	  -99999.0
20140815/0100	  -99999.0	       5.4	  -99999.0
20140815/0200	  -99999.0	       5.1	  -99999.0
20140815/0300	  -99999.0	       4.9	  -99999.0
20140815/0400	  -99999.0	       4.7	  -99999.0
20140815/0500	  -99999.0	       4.4	  -99999.0
20140815/0600	     336.8	       4.1	       0.0
20140815/0700	     322.1	       4.3	       0.0
20140815/0800	     332.2	       4.5	       0.0
20140815/0900	     284.3	       5.0	       0.0
20140815/1000	     322.0	       5.5	       0.0
20140815/1100	     332.9	       5.7	       0.0
20140815/1200	     333.6	       6.0	       0.0
20140815/1300	     333.2	       6.0	       0.0
20140815/1400	     330.2	       5.9	       0.0
20140815/1500	     331.6	       5.8	       0.0
20140815/1600	     329.2	       5.6	       0.0
20140815/1700	     332.8	       5.1	       0.0
20140815/1800	     331.3	       4.7	       0.0
20140815/1900	     330.3	       4.5	       0.0
20140815/2000	     333.1	       3.9	       0.7
20140815/2100	     333.4	       3.7	       0.6
20140815/2200	     335.6	       3.7	       0.1
20140815/2300	     336.0	       3.7	       0.1
20140816/0000	     336.1	       3.8	       0.0
20140816/0100	     335.1	       3.7	       0.0
20140816/0200	     335.3	       3.6	       0.0
20140816/0300	     336.7	       3.5	       0.2
20140816/0400	     335.5	       3.3	       0.1
20140816/0500	     334.7	       3.4	       0.0
20140816/0600	     333.7	       3.5	       0.0
20140816/0700	     333.2	       3.5	       0.0
20140816/0800	     334.3	       3.6	       0.0
20140816/0900	     336.8	       4.0	       0.0
20140816/1000	     338.3	       4.3	       0.0
20140816/1100	     338.1	       4.6	       0.0
