Temperatur	X1TA	Lufttemperatur (1)	ºC	2006-12-16 00:00:00	None	Lufttemperatur - sensor 1
Vind	KLFG_1	Tidspunkt	tid	2015-09-18 00:00:00	None	Klokkeslett da FG inntraff (HHmm)  hel time
Vind	KLFX_1	Tidspunkt	tid	2015-09-18 00:00:00	None	Klokkeslett da FX inntraff (HHmm) hel time
Temperatur	X1TAX	Maksimumstemperatur (2)	ºC	2006-12-16 00:00:00	None	Maksimumstemperatur - sensor 1
Temperatur	X1TAM	Middeltemperatur (2)	ºC	2011-11-08 00:00:00	2014-06-30 00:00:00	Middeltemperatur - sensor 1
Temperatur	TAX_24	Maksimumstemperatur (24 timer)	ºC	1937-01-01 00:00:00	1937-05-31 00:00:00	Maksimumstemperatur (24 timer)
Vær	WD3	Været siden forrige hovedobservasjon	kode	2005-01-26 00:00:00	2015-04-30 00:00:00	Tilleggsopplysning om været siden forrige hovedobservasjon
Temperatur	TAN_24	Minimumstemperatur	ºC	1937-01-01 00:00:00	1937-02-28 00:00:00	Temperatur i ºC, minimum minuttverdi siste 24 timer
Lufttrykk	POM	Midlere lufttrykk, stasjonsnivå	hPa	1993-11-07 00:00:00	2006-04-30 00:00:00	Lufttrykk på stasjonen (QFE), middelverdi for perioden
Vind	FG_010	Kraftigste vindkast (siste 10 min)	m/s	2006-04-03 00:00:00	None	Kraftigste vindkast (3 sekunder) siste 10 minutter (10 meter over bakken)
Vind	FG_1	Kraftigste vindkast (siste time)	m/s	1992-12-01 00:00:00	None	Kraftigste vindkast (3 sekunder) siste time (10 meter over bakken)
Nedbør	RR_1	Nedbør (1 time)	mm	2013-12-14 00:00:00	2013-12-31 00:00:00	Nedbørmengde siste time
Nedbør	RR_1	Nedbør (1 time)	mm	1993-11-07 00:00:00	None	Nedbørmengde siste time
Nedbør	RR_6	Nedbør (6 timer)	mm	2005-09-07 00:00:00	2010-08-31 00:00:00	Nedbørmengde siste 6 timer
Nedbør	RR_X	Nedbør	mm	2006-09-21 00:00:00	2009-05-31 00:00:00	Nedbørmengde i en uspesifisert tidsperiode
Temperatur	TAN_12	Minimumstemperatur (12 timer)	ºC	1931-01-01 00:00:00	2004-12-31 00:00:00	Laveste registrerte temperatur siste 12 timer
Temperatur	TAN_12	Minimumstemperatur (12 timer)	ºC	2005-01-01 00:00:00	None	Laveste registrerte temperatur siste 12 timer
Vær	V1	Været ved observasjonstida	kode	1951-01-01 00:00:00	2009-12-31 00:00:00	Været ved observasjonstida, tall- eller bokstavkode for ulike værslag, inntil tre forekomster (V1-V3)
Vær	V5	Værslag i perioden	kode	1951-01-01 00:00:00	2009-12-31 00:00:00	Været i seks- eller tolvtimersperioden før observasjonstida, tall- eller bokstavkode for ulike værslag, inntil fire forekomster (V4-V7)
Vær	V7	Værslag i perioden	kode	1951-01-14 00:00:00	2008-09-30 00:00:00	Været i seks- eller tolvtimersperioden før observasjonstida, tall- eller bokstavkode for ulike værslag, inntil fire forekomster (V4-V7)
Temperatur	X1TAN	-	ºC	2006-12-16 00:00:00	None	Minimumstemperatur sensor 1
Temperatur	X1TAN_12	-	ºC	2006-12-17 00:00:00	None	Minimumstemperatur siste 12 timer sensor 1
Temperatur	X1TAX_12	-	ºC	2006-12-17 00:00:00	None	Temperatur i ºC, maximum siste 24 timer sensor 1
Stråling	QSI_01	Kortbølget(global) stråling	W/m2	2014-02-28 00:00:00	None	Kortbølget stråling(global) ovenfra, midlet over siste minutt
Temperatur	TD	Duggpunktstemperatur	ºC	1951-01-01 00:00:00	2004-12-31 00:00:00	Duggpunktstemperatur (den temperaturen lufta må avkjøles til før skydannelse (metning) inntreffer)
Temperatur	TD	Duggpunktstemperatur	ºC	1993-05-04 00:00:00	None	Duggpunktstemperatur (den temperaturen lufta må avkjøles til før skydannelse (metning) inntreffer)
