Temperatur	TAM_K	Middeltemperatur beregnet med Køppens formel	ºC	2005-07-01 00:00:00	None	Middeltemperatur beregnet med Køppens formel
Fuktighet	MR	Blandingsforhold (mixing ratio)	gr/kg	2005-01-24 00:00:00	None	Forholdet mellom vanndampens og den tørre luftens tetthet
Temperatur	TAMRR	Middeltemperatur i nedbørdøgnet	ºC	2004-11-04 00:00:00	None	Døgnverdi: Aritmetisk middel av 24 timeverdier (evt formelbasert middelverdi) for kl 06-06 utc
Fuktighet	SH	Spesifikk luftfuktighet	gr/kg	2005-01-24 00:00:00	None	Spesifikk luftfuktighet
Vind	FXX	Kraftigste middelvind	m/s	2002-08-01 00:00:00	None	Døgnverdi: Høyeste verdi av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Høyeste verdi av døgn-FXX
Lufttrykk	POM	Midlere lufttrykk, stasjonsnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk på stasjonen (QFE), middelverdi for perioden
Temperatur	TD	Duggpunktstemperatur	ºC	2006-03-03 00:00:00	None	Duggpunktstemperatur (den temperaturen lufta må avkjøles til før skydannelse (metning) inntreffer)
Temperatur	TAM	Middeltemperatur	ºC	2004-01-01 00:00:00	None	"Timeverdi: Aritmetisk middel av minuttverdier Døgnverdi: Aritmetisk middel av 24 timeverdier (kl 00-00), evt formelbasert middelverdi ut fra færre observasjoner (kl 18-18)Månedsverdi: Aritmetisk middel av døgn-TAM "
Temperatur	TAN	Minimumstemperatur	ºC	2002-08-09 00:00:00	None	Laveste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Temperatur	TAX	Maksimumstemperatur	ºC	2002-08-09 00:00:00	None	Høyeste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Vind	DD18	Vindretning kl. 18 UTC	grader	2002-08-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 18 utc
Vind	FXN	Laveste av høyeste middelvindverdier	m/s	2002-08-01 00:00:00	None	Døgnverdi: Laveste verdi av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FXN
Vind	FGX	Kraftigste vindkast	m/s	2004-11-03 00:00:00	None	Døgnverdi: Høyeste verdi av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Høyeste verdi av døgn-FGX
Vind	DD06	Vindretning kl. 06 UTC	grader	2002-08-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 06 utc
Temperatur	VEKST	Vekstgradtall	graddager	2004-01-01 00:00:00	None	Tall som avledes av døgnmiddeltemperaturen (antall grader > 5 ºC)
Lufttrykk	PRN	Laveste lufttrykk, havnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), laveste verdi for perioden
Lufttrykk	PRX	Høyeste lufttrykk, havnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), høyeste verdi for perioden
Vind	FGN	Svakeste høye vindkast	m/s	2004-11-03 00:00:00	None	Døgnverdi: Laveste verdi av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FGN
Lufttrykk	POX	Høyeste lufttrykk, stasjonsnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk på stasjonen (QFE), høyeste verdi for perioden
Fuktighet	UUM	Midlere relativ luftfuktighet	prosent	2004-01-01 00:00:00	None	Midlere relativ luftfuktighet for en periode (aritmetisk middel av målte verdier)
Fuktighet	UUN	Minimum relativ luftfuktighet	prosent	2002-08-09 00:00:00	None	Laveste observerte relative luftfuktighet i en periode
Fuktighet	UUX	Maksimum relativ luftfuktighet	prosent	2002-08-09 00:00:00	None	Høyeste observerte relative luftfuktighet i en periode
Vind	FGM	Middel av høye vindkastverdier	m/s	2004-11-03 00:00:00	None	Døgnverdi: Aritmetisk middel av kraftigste vindkast (FG) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FGM
Lufttrykk	VP	Vanndamptrykk	hPa	2002-08-09 00:00:00	None	Trykk utledet av relativ fuktighet og aktuell temperatur
Temperatur	GD17	Energigradtall (basis 17)	graddager	2004-01-01 00:00:00	None	Også kalt graddagstall eller fyringsgrader. Tallet avledes av døgnmiddeltemperaturen (antall grader < 17 ºC)
Temperatur	VSUM	Varmesum	graddager	2004-01-01 00:00:00	None	Tall som avledes av døgnmiddeltemperaturen (antall grader > 0 ºC)
Vind	DD12	Vindretning kl. 12 UTC	grader	2002-08-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 12 utc
Vind	FFX	Høyeste vindhastighet (hovedobservasjoner)	m/s	2002-08-09 00:00:00	None	Døgnverdi: Høyeste verdi av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc.Månedsverdi: Høyeste verdi av døgn-FFX
Vind	FFN	Laveste vindhastighet (hovedobservasjoner)	m/s	2002-08-09 00:00:00	None	Døgnverdi: Laveste verdi av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FFN
Vind	FXM	Middel av høyeste middelvindverdier (hovedobservasjoner)	m/s	2002-08-01 00:00:00	None	Døgnverdi: Aritmetisk middel av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FXM
Temperatur	TAND	Lufttemperatur	ºC	2005-01-25 00:00:00	None	Laveste registrerte temperatur i timen/døgnet (kl 00-23)
Temperatur	TAXD	Lufttemperatur	ºC	2005-01-25 00:00:00	None	Høyeste registrerte temperatur i timen/døgnet (kl 00-23)
Lufttrykk	PRM	Midlere lufttrykk, havnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk redusert til havets nivå (QFF), middelverdi for perioden
Vind	FFM	Middel av vindhastigheter (hovedobservasjoner)	m/s	2002-08-09 00:00:00	None	Døgnverdi: Aritmetisk middel av vindhastighet (timinutters middel, FF) for kl 0, 6, 12 og 18 utc. Månedsverdi: Aritmetisk middel av døgn-FFM
Lufttrykk	PON	Laveste lufttrykk, stasjonsnivå	hPa	2002-08-09 00:00:00	None	Lufttrykk på stasjonen (QFE), laveste verdi for perioden
