Dato;d_s [m];mm;m/s;C;tot_s [m]
2013-04-19;-0.03;446.65;5.93;-1.04;0.46
2013-04-20;0.01;446.81;3.25;-2.56;0.47
2013-04-21;-0.01;446.91;3.68;-1.24;0.46
2013-04-22;-0.01;447;4.11;0.09;0.45
2013-04-23;0.05;448.85;6.77;-1.09;0.5
2013-04-24;0.19;452.4;6.8;-1.87;0.69
2013-04-25;-0.02;455.17;4.2;-1.08;0.67
2013-04-26;-0.01;457.26;2.49;-1.78;0.66
2013-04-27;-0.03;457.32;1.23;-4.69;0.63
2013-04-28;0;457.54;3.41;-3.31;0.63
2013-04-29;0;458.29;3.44;-0.24;0.63
2013-04-30;0.01;459.94;5.63;-2.12;0.64
2013-05-01;-0.01;460.16;3.37;-3.48;0.63
2013-05-02;0.01;460.54;5.85;-3.72;0.64
2013-05-03;0.04;461.84;3.94;-2.42;0.68
2013-05-04;0.01;463.46;3.9;-3.33;0.69
2013-05-05;-0.03;464.91;3.56;1.95;0.66
2013-05-06;-0.07;464.89;2.56;5.2;0.59
2013-05-07;-0.07;464.93;2.53;4.11;0.52
2013-05-08;-0.03;465.05;2.07;3.71;0.49
2013-05-09;-0.12;468.72;2.21;1.98;0.37
2013-05-10;0;470.82;3.48;1.98;0.37
2013-05-11;0;472.21;3.14;1.98;0.37
2013-05-12;0;473.3;3.17;1.98;0.37
2013-05-13;0;474.22;3.16;1.98;0.37
2013-05-14;-0.13;475.58;2.43;0.24;0.24
2013-05-15;-0.01;477.34;5.65;0.32;0.23
2013-05-16;-0.06;494.62;4.2;4.12;0.17
2013-05-17;-0.08;500.09;3.31;5.7;0.09
2013-05-18;-0.08;500.92;1.57;7.73;0.01
2013-05-19;-0.01;500.75;1.87;9.56;0
2013-05-20;0.01;378.85;2.06;5.3;0.01
2013-05-21;0;378.85;2.06;5.3;0.01
2013-05-22;0.01;256.95;2.25;1.03;0.02
2013-05-23;0;278.18;3.01;3.59;0.02
2013-05-24;-0.02;283.48;1.66;4.43;0
2013-05-25;0;283.27;1.65;7.92;0
2013-05-26;0;283.07;1.91;9.88;0
2013-05-27;0;283.16;3.4;6.97;0
2013-05-28;0;283.34;3;5.95;0
2013-05-29;0;283.36;2.82;10.91;0
2013-05-30;0;284.1;1.35;9.55;0
2013-05-31;0;287.1;1.48;10.68;0
2013-06-01;0;290.09;1.62;9.61;0
2013-06-02;0;295.02;2.75;5.9;0
2013-06-03;0;296.01;4.75;5.63;0
2013-06-04;0;299.67;3.91;5.25;0
2013-06-05;0;299.67;3.91;5.25;0
2013-06-06;0;303.32;3.06;4.86;0
2013-06-07;0;303.51;2.85;5.08;0
2013-06-08;0;303.6;3.25;5.13;0
2013-06-09;0;303.49;2.74;5.83;0
2013-06-10;0;303.39;1.81;7.2;0
2013-06-11;0;303.24;1.75;8.99;0
2013-06-12;0;303.23;3.41;9.57;0
2013-06-13;0;307.12;3.03;8.05;0
2013-06-14;0;309.17;5.01;6.41;0
2013-06-15;0;310.15;2.13;7.57;0
2013-06-16;0;311.78;2.19;8.02;0
2013-06-17;0;311.78;2.19;8.02;0
2013-06-18;0;313.41;2.25;8.46;0
2013-06-19;0;314.63;1.37;9.87;0
2013-06-20;0;321.75;2.3;9.93;0
2013-06-21;0;322.62;2.32;9.15;0
2013-06-22;0;338.67;2.05;10.81;0
2013-06-23;0;341.18;2.85;9.65;0
2013-06-24;0;345.09;2.19;8.07;0
2013-06-25;0;347.57;2.56;8.83;0
2013-06-26;0;348.72;1.72;8.14;0
2013-06-27;0;352.62;1.94;9.8;0
2013-06-28;0;354.1;2.79;10.22;0
2013-06-29;0;356.41;2.97;5.62;0
2013-06-30;0;358.47;1.67;9.16;0
2013-07-01;0;358.81;2.51;9.84;0
2013-07-02;0;359.97;2.09;7.53;0
2013-07-03;0;361.26;1.67;7.47;0
2013-07-04;0;365.85;2.07;10.49;0
2013-07-05;0;366.76;3.73;8.1;0
2013-07-06;0;366.95;2.9;12.13;0
2013-07-07;0;366.8;4.99;10.72;0
2013-07-08;0;366.77;2.71;9.31;0
2013-07-09;0;367.65;4.7;9.66;0
2013-07-10;0;368.43;3.35;9.82;0
2013-07-11;0;368.33;1.56;9.63;0
2013-07-12;0;368.2;2;11.63;0
2013-07-13;0;369.25;3.59;10.2;0
2013-07-14;0;369.92;5.3;5.75;0
2013-07-15;0;370.9;5.6;7.14;0
2013-07-16;0;372.09;3.64;8.02;0
2013-07-17;0;372.57;4.3;10.79;0
2013-07-18;0;374.65;4.89;9.94;0
2013-07-19;0;377.93;3.69;10.83;0
