calculated_draft;calculated_snow;date;draft_difference;lake_areas;lake_circumference;lake_elevation;lake_name;lake_type;observed_draft;observed_snow;regobs_elevation;regobs_id;regobs_name;snow_difference;utm_e;utm_n;utm_zone
0.8751351989078863;0.38095073076094715;2019-04-09;-0.024864801092113642;109208.6904296875;1413.3553852200084;388.0;Mosvasstjørnan;Innsjø;0.8999999999999999;0.1;388;11489;Måsvasstjønnan 388 moh;0.2809507307609471;414033;7244577;33
0.0;0.0;2019-05-27;0.0;109208.6904296875;1413.3553852200084;388.0;Mosvasstjørnan;Innsjø;0.0;0.0;388;11489;Måsvasstjønnan 388 moh;0.0;414033;7244577;33
0.0;0.0;2019-05-29;0.0;109208.6904296875;1413.3553852200084;388.0;Mosvasstjørnan;Innsjø;0.0;0.0;388;11489;Måsvasstjønnan 388 moh;0.0;414033;7244577;33
0.5030515621111713;0.17622981231266135;2019-01-04;0.003051562111171302;3491325.243408203;17354.163503666867;525.0;Middagstjønna;InnsjøRegulert;0.5;0.05;524;2663;Uman/Umbukta 525 moh;0.12622981231266134;480951;7337416;33
0.666402408173753;0.35949999897140955;2019-01-22;0.16640240817375296;3491325.243408203;17354.163503666867;525.0;Middagstjønna;InnsjøRegulert;0.5;0.15;524;2663;Uman/Umbukta 525 moh;0.20949999897140956;480951;7337416;33
1.0865338590396938;0.2773924227040872;2019-02-28;0.28653385903969375;3491325.243408203;17354.163503666867;525.0;Middagstjønna;InnsjøRegulert;0.8;0.05;524;2663;Uman/Umbukta 525 moh;0.22739242270408722;480951;7337416;33
0.0;0.0;2019-06-10;0.0;3491325.243408203;17354.163503666867;525.0;Middagstjønna;InnsjøRegulert;0.0;0.0;524;2663;Uman/Umbukta 525 moh;0.0;480951;7337416;33
0.09781275024756454;0.0;2019-05-21;0.09781275024756454;78821.2568359375;1406.612764315337;96.0;Prestvannet;InnsjøRegulert;0.0;0.0;96;59821;Prestvannet 96 moh;0.0;652567;7732811;33
0.059252750247564365;0.0;2019-05-23;0.059252750247564365;78821.2568359375;1406.612764315337;96.0;Prestvannet;InnsjøRegulert;0.0;0.0;96;59821;Prestvannet 96 moh;0.0;652567;7732811;33
0.07155482242186974;0.0;2019-05-30;0.07155482242186974;1068634.9653320312;12833.970735577765;268.0;Langvatnet;InnsjøRegulert;0.0;0.0;269;16250;Langvatnet 269 moh;0.0;607418;7613997;33
0.02224815575520249;0.0;2019-06-01;0.02224815575520249;1068634.9653320312;12833.970735577765;268.0;Langvatnet;InnsjøRegulert;0.0;0.0;269;16250;Langvatnet 269 moh;0.0;607418;7613997;33
1.1725407500887364;0.0;2019-06-05;1.1725407500887364;79653135.93945312;146512.9277169283;489.0;Altevatnet;InnsjøRegulert;0.0;0.0;487;16238;Altevatnet vest 489 moh;0.0;658727;7621159;33
0.646182850300635;0.0;2019-06-10;0.646182850300635;79653135.93945312;146512.9277169283;489.0;Altevatnet;InnsjøRegulert;0.0;0.0;487;16238;Altevatnet vest 489 moh;0.0;658727;7621159;33
0.16014009371752516;0.107105778867562;2018-12-21;-0.07985990628247483;830471.345703125;7422.198597013815;268.0;Storvatnet;InnsjøRegulert;0.24;0.0;269;3591;Storvatnet - midten 270 moh;0.107105778867562;607704;7613595;33
0.9512276563008327;0.4004025752465549;2019-02-13;0.1712276563008327;830471.345703125;7422.198597013815;268.0;Storvatnet;InnsjøRegulert;0.78;0.15;269;3591;Storvatnet - midten 270 moh;0.25040257524655496;607704;7613595;33
1.4198414239899768;0.4648653512572811;2019-03-20;0.6098414239899768;830471.345703125;7422.198597013815;268.0;Storvatnet;InnsjøRegulert;0.81;0.23;269;3591;Storvatnet - midten 270 moh;0.2348653512572811;607704;7613595;33
1.5755072500429281;0.36334772230005347;2019-04-04;0.6155072500429282;830471.345703125;7422.198597013815;268.0;Storvatnet;InnsjøRegulert;0.96;0.55;269;3591;Storvatnet - midten 270 moh;-0.18665227769994658;607704;7613595;33
1.5763106177394175;0.3742787896493374;2019-04-15;0.6463106177394174;830471.345703125;7422.198597013815;268.0;Storvatnet;InnsjøRegulert;0.93;0.09;269;3591;Storvatnet - midten 270 moh;0.2842787896493374;607704;7613595;33
0.22838463117836913;0.0;2019-05-23;0.22838463117836913;6899285.065612793;28044.285039528113;900.0;Breiddalsvatnet;InnsjøRegulert;0.0;0.0;900;16978;Breiddalsvatnet vest 900 moh;0.0;110053;6899173;33
0.0;0.0;2019-06-09;0.0;6899285.065612793;28044.285039528113;900.0;Breiddalsvatnet;InnsjøRegulert;0.0;0.0;900;16978;Breiddalsvatnet vest 900 moh;0.0;110053;6899173;33
0.25652944737404476;0.0;2019-05-19;0.25652944737404476;1059287.067993164;7213.199373639849;925.0;Avsjøen;Innsjø;0.0;0.0;927;16199;Avsjøen 925 moh;0.0;212384;6905957;33
0.15988944737404456;0.0;2019-05-22;0.15988944737404456;1059287.067993164;7213.199373639849;925.0;Avsjøen;Innsjø;0.0;0.0;927;16199;Avsjøen 925 moh;0.0;212384;6905957;33
0.1865315279479154;0.0;2019-05-26;0.1865315279479154;9957.947082519531;474.8072490640921;;;Innsjø;0.0;0.0;908;8464;Stalltjønne 908 moh;0.0;114700;6897582;33
0.1802066841252683;0.020870370370370084;2019-05-31;0.1802066841252683;9957.947082519531;474.8072490640921;;;Innsjø;0.0;0.0;908;8464;Stalltjønne 908 moh;0.020870370370370084;114700;6897582;33
0.0;0.0;2018-10-26;0.0;1483261.5874023438;11550.459074217211;882.0;Mjogsjøen;InnsjøRegulert;0.0;0.0;882;61732;Kroksjøen 882 moh;0.0;269481;6790757;33
0.45185243387317653;0.12410688135091381;2019-01-07;0.08185243387317653;1483261.5874023438;11550.459074217211;882.0;Mjogsjøen;InnsjøRegulert;0.37;0.2;882;61732;Kroksjøen 882 moh;-0.0758931186490862;269481;6790757;33
0.07841314571775354;0.0;2019-05-21;0.07841314571775354;1483261.5874023438;11550.459074217211;882.0;Mjogsjøen;InnsjøRegulert;0.0;0.0;882;61732;Kroksjøen 882 moh;0.0;269481;6790757;33
0.07841314571775354;0.0;2019-05-21;0.07841314571775354;1483261.5874023438;11550.459074217211;882.0;Mjogsjøen;InnsjøRegulert;0.0;0.0;882;61732;Kroksjøen 882 moh;0.0;269481;6790757;33
0.0;0.0;2019-05-23;0.0;1483261.5874023438;11550.459074217211;882.0;Mjogsjøen;InnsjøRegulert;0.0;0.0;882;61732;Kroksjøen 882 moh;0.0;269481;6790757;33
0.6629783628159771;0.0;2019-04-07;0.6629783628159771;;;;;;0.0;0.0;468;16212;Uvdalselva v/Løvheim 465 moh;0.0;156586;6697076;33
0.6724969385013021;0.0;2019-04-16;0.6724969385013021;;;;;;0.0;0.0;468;16212;Uvdalselva v/Løvheim 465 moh;0.0;156586;6697076;33
0.18255571735701284;0.0;2019-05-19;0.18255571735701284;173517.14965820312;2478.263313782832;816.0;Sundtjønn;Innsjø;0.0;0.0;816;27387;Sundtjønn 816 moh;0.0;169305;6665189;33
0.903910010948858;0.3096078630592149;2019-02-06;0.15391001094885803;65411848.283203125;139509.39733029722;729.0;Nesjøen;InnsjøRegulert;0.75;0.15;733;2622;Nesjø øst 729 moh;0.1596078630592149;350560;6985305;33
0.06816841425556909;0.0;2019-05-28;0.06816841425556909;65411848.283203125;139509.39733029722;729.0;Nesjøen;InnsjøRegulert;0.0;0.0;733;2622;Nesjø øst 729 moh;0.0;350560;6985305;33
0.06934498041811327;0.0;2019-05-30;0.06934498041811327;65411848.283203125;139509.39733029722;729.0;Nesjøen;InnsjøRegulert;0.0;0.0;733;2622;Nesjø øst 729 moh;0.0;350560;6985305;33
0.02403585407296306;0.0;2018-10-31;-0.035964145927036936;77747.23193359375;1189.858409187796;20.0;Kallstadvatnet;Innsjø;0.06;0.0;18;70351;Kallstadvatnet 20 moh;0.0;525270;7550229;33
0.0;0.0;2019-06-03;0.0;45961.33279418945;1054.359172011079;668.0;Storevatnet;Innsjø;0.0;0.0;667;16227;Storevatnet 668 moh;0.0;47248;6922864;33
