Temperatur	TAM06M	Midlere temperatur målt kl.07, norsk tid
Temperatur	X2TGX	Maksimum gresstemperatur - sensor 2
Snø	SAX	Månedsverdi: Høyeste målte snødybde
Temperatur	X4TGN	Minimum gresstemperatur
Temperatur	GD17_I	Også kalt graddagstall eller fyringsgrader. Tallet avledes av døgnmiddeltemperaturen (antall grader < 17 ºC). Månedsverdi interpolert ut fra griddete data.
Snø	SAN	Månedsverdi: Laveste målte snødybde
Snø	SDN	Månedsverdi: Minste observerte snødekke
Temperatur	TANM	Månedsverdi: Aritmetisk middel av hvert døgns mimimumstemperatur
Temperatur	TA	Lufttemperatur ved observasjonstiden
Snø	SD	Oppgis med kodetall 1 - 4: 1 - 3 betyr at deler av marka er snødekt, og 4 at området rundt stasjonen er helt snødekt. Kode = -1 betyr "ikke snø", presenterast som "."
Temperatur	TG	Temperatur målt 10 cm over bakkenivå
Snø	SDM	Månedsverdi: Aritmetisk middel av daglig snødekke
Temperatur	X3TGM	Midlere gresstemperatur - sensor 3
Temperatur	TGN	Laveste registrerte temperatur i timen/døgnet/måneden, målt 10 cm over bakken
Temperatur	X3TGN	Minimum gresstemperatur - sensor 3
Temperatur	TW	Sjøtemperatur i °C, nær vannoverflaten
Snø	SS_1	Snødybde, tilvekst siste time i cm
Snø	SS_24	Snødybde, tilvekst siste 24 timer i cm
Temperatur	TAK	Kalmanfiltrert temperatur i ºC
Temperatur	TAN_X	Temperatur i ºC, minimum minuttverdi, vilkårlig periode
Temperatur	TAX_X	Temperatur i ºC, maksimum minuttverdi, vilkårlig periode
Temperatur	TDIF	Temperaturdifferanse
Snø	SAE	Snødybde, tilvekst eller minking siste døgn
Temperatur	VEKST	Tall som avledes av døgnmiddeltemperaturen (antall grader > 5 ºC)
Temperatur	TSX25	Snøtemperatur i °C, maksimum  minuttverdi i timen
Temperatur	TSX75	Snøtemperatur i °C, maksimum  minuttverdi i timen
Temperatur	TSX125	Snøtemperatur i °C, maksimum  minuttverdi i timen
Temperatur	TSX175	Snøtemperatur i °C, maksimum  minuttverdi i timen
Temperatur	TAM_STDEV	Standardavvik av midlere lufttemperatur
Temperatur	TA_DELTA	Vertikal temperaturdifferanse
Temperatur	TA10	Temperatur i 10m høyde
Snø	SIGNSTR_SHM	Signalstyrke, snødybdemåler
Temperatur	X2TAN	Laveste registrerte temperatur i timen/døgnet (kl 18-18)/måneden sensor 1
Temperatur	TSA25	Snøtemperatur i °C, nåverdi dybde=25 cm
Temperatur	TSA75	Snøtemperatur i °C, nåverdi dybde 75 cm
Temperatur	TSA125	Snøtemperatur i °C, nåverdi dybde=125 cm
Temperatur	TSA175	Snøtemperatur i °C, nåverdi dybde=175 cm
